order,seasonal_order,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_AIC,std_AIC,mean_BIC,std_BIC,num_successful_trials
"(1, 1, 2)","(0, 2, 1)",118.79484996904527,4.263256414560601e-14,82.05530953377556,2.842170943040401e-14,23140.41471256696,1.0913936421275139e-11,23169.3474715991,7.275957614183426e-12,30
"(1, 1, 2)","(0, 2, 2)",151.26098815637866,5.684341886080802e-14,121.8939371360093,0.0,21476.585417990307,7.275957614183426e-12,21511.274753745718,7.275957614183426e-12,30
"(1, 1, 2)","(1, 0, 0)",119.79493017782383,2.842170943040401e-14,82.91216934810171,2.842170943040401e-14,21634.51774598295,7.275957614183426e-12,21663.50420235067,1.0913936421275139e-11,30
"(1, 1, 2)","(1, 0, 1)",119.79456960868096,1.4210854715202004e-14,82.91168609695657,0.0,21620.277927071078,3.637978807091713e-12,21655.0567425296,7.275957614183426e-12,30
"(1, 1, 2)","(1, 0, 2)",116.36242815832836,0.0,79.304028335785,0.0,21512.03002309671,0.0,21552.570682830767,0.0,30
"(1, 1, 2)","(1, 1, 0)",121.31225582861407,0.0,85.15674248241568,0.0,22555.547932239497,7.275957614183426e-12,22584.50967686007,0.0,30
"(1, 1, 2)","(1, 1, 1)",123.4606085664354,1.4210854715202004e-14,88.19501644472842,2.842170943040401e-14,21542.132471045254,0.0,21576.881607960167,1.0913936421275139e-11,30
"(1, 1, 2)","(1, 1, 2)",122.33237554679675,2.842170943040401e-14,86.62131936282364,1.4210854715202004e-14,21441.239363195153,3.637978807091713e-12,21481.74522584015,7.275957614183426e-12,30
"(1, 1, 2)","(1, 2, 0)",290.641965937051,5.684341886080802e-14,242.83218883023088,5.684341886080802e-14,24358.834727319416,0.0,24387.77163745184,0.0,30
"(1, 1, 2)","(1, 2, 1)",137.40028828742396,5.684341886080802e-14,105.80720324696998,1.4210854715202004e-14,22502.441985536578,7.275957614183426e-12,22537.161296375136,7.275957614183426e-12,30
"(1, 1, 2)","(1, 2, 2)",151.12995047980536,0.0,121.75089391401566,1.4210854715202004e-14,21478.11559521557,3.637978807091713e-12,21518.586486930224,7.275957614183426e-12,30
"(1, 1, 2)","(2, 0, 0)",119.7951060615607,4.263256414560601e-14,82.912658097931,1.4210854715202004e-14,21536.19811687026,3.637978807091713e-12,21570.952210414936,3.637978807091713e-12,30
"(1, 1, 2)","(2, 0, 1)",116.25592665195882,0.0,79.18907424673654,1.4210854715202004e-14,21528.632044446636,3.637978807091713e-12,21569.178486915425,0.0,30
"(1, 1, 2)","(2, 0, 2)",115.89525840021118,4.263256414560601e-14,78.79156771218247,1.4210854715202004e-14,21508.646153747315,7.275957614183426e-12,21554.978336300508,7.275957614183426e-12,30
"(1, 1, 2)","(2, 1, 0)",119.97172828869313,1.4210854715202004e-14,83.25736668134064,2.842170943040401e-14,22177.48607001489,0.0,22212.21036217381,1.0913936421275139e-11,30
"(1, 1, 2)","(2, 1, 1)",123.26931924157499,0.0,87.92862897797741,2.842170943040401e-14,21461.938998920796,1.0913936421275139e-11,21502.45067310617,7.275957614183426e-12,30
"(1, 1, 2)","(2, 1, 2)",121.7688051730192,1.4210854715202004e-14,85.8311502631299,2.842170943040401e-14,21437.06202294804,3.637978807091713e-12,21483.35443739946,7.275957614183426e-12,30
"(1, 1, 2)","(2, 2, 0)",11783.536732813804,1.8189894035458565e-12,8897.859942084302,1.8189894035458565e-12,23409.963185362067,7.275957614183426e-12,23444.657527375603,3.637978807091713e-12,30
"(1, 1, 2)","(2, 2, 1)",122.16450898680745,2.842170943040401e-14,86.45204404279588,1.4210854715202004e-14,22143.69785948329,7.275957614183426e-12,22184.174591832405,1.0913936421275139e-11,30
"(1, 1, 2)","(2, 2, 2)",210.20638138787638,8.526512829121202e-14,180.87358231715618,5.684341886080802e-14,21493.316842782566,7.275957614183426e-12,21539.56929045646,3.637978807091713e-12,30
"(1, 2, 0)","(0, 0, 0)",119.79465000547665,2.842170943040401e-14,82.91176470588236,1.4210854715202004e-14,22909.982174634155,7.275957614183426e-12,22921.585775437983,3.637978807091713e-12,30
"(1, 2, 0)","(0, 0, 1)",132.38221123994663,0.0,100.00104286898153,2.842170943040401e-14,22809.24377448098,7.275957614183426e-12,22826.634415509314,7.275957614183426e-12,30
"(1, 2, 0)","(0, 0, 2)",125.39406158291632,4.263256414560601e-14,90.82212648079523,2.842170943040401e-14,22703.760428077072,0.0,22726.928171904834,1.0913936421275139e-11,30
"(1, 2, 0)","(0, 1, 0)",29525.856993585367,3.637978807091713e-12,22091.28737698855,7.275957614183426e-12,24526.607412794267,3.637978807091713e-12,24538.201173479825,1.0913936421275139e-11,30
"(1, 2, 0)","(0, 1, 1)",734.7067471189614,2.2737367544323206e-13,639.3073689685831,1.1368683772161603e-13,22714.80384171292,7.275957614183426e-12,22732.179649583748,7.275957614183426e-12,30
